101,RES001,23,150.00,2024-11-05,2024-11-07
202,RES002,45,300.50,2024-11-06,2024-11-10
303,RES003,12,225.75,2024-11-07,2024-11-09
104,RES004,29,180.25,2024-11-08,2024-11-11
205,RES005,34,400.00,2024-11-09,2024-11-14
306,RES006,50,275.50,2024-11-10,2024-11-13
107,RES007,8,200.00,2024-11-11,2024-11-14
208,RES008,1,350.75,2024-11-12,2024-11-17
309,RES009,7,190.25,2024-11-13,2024-11-15
110,RES010,9,450.00,2024-11-14,2024-11-20
201,RES011,43,175.50,2024-11-15,2024-11-18
302,RES012,21,280.00,2024-11-16,2024-11-19
103,RES013,6,220.25,2024-11-17,2024-11-20
204,RES014,32,375.50,2024-11-18,2024-11-23
305,RES015,5,195.75,2024-11-19,2024-11-21
106,RES016,7,310.00,2024-11-20,2024-11-24
207,RES017,9,240.25,2024-11-21,2024-11-25
308,RES018,38,420.50,2024-11-22,2024-11-28
109,RES019,28,185.00,2024-11-23,2024-11-25
210,RES020,41,330.75,2024-11-24,2024-11-28
301,RES021,19,275.25,2024-11-25,2024-11-29
102,RES022,4,390.00,2024-11-26,2024-12-02
203,RES023,30,215.50,2024-11-27,2024-11-30
304,RES024,50,360.25,2024-11-28,2024-12-03
105,RES025,14,170.75,2024-11-29,2024-12-01
206,RES026,7,295.00,2024-11-30,2024-12-04
307,RES027,36,405.50,2024-12-01,2024-12-07
108,RES028,9,230.25,2024-12-02,2024-12-05
209,RES029,39,340.00,2024-12-03,2024-12-08
310,RES030,17,180.75,2024-12-04,2024-12-06
101,RES031,27,315.50,2024-12-05,2024-12-09
202,RES032,28,255.25,2024-12-06,2024-12-10
303,RES033,50,370.00,2024-12-07,2024-12-12
104,RES034,38,200.50,2024-12-08,2024-12-11
205,RES035,5,325.75,2024-12-09,2024-12-14
306,RES036,16,415.25,2024-12-10,2024-12-16
107,RES037,49,245.00,2024-12-11,2024-12-15
208,RES038,37,355.50,2024-12-12,2024-12-17
309,RES039,15,190.75,2024-12-13,2024-12-15
110,RES040,7,285.25,2024-12-14,2024-12-18
201,RES041,26,395.00,2024-12-15,2024-12-21
302,RES042,48,220.50,2024-12-16,2024-12-19
103,RES043,18,335.75,2024-12-17,2024-12-22
204,RES044,3,175.25,2024-12-18,2024-12-20
305,RES045,9,290.00,2024-12-19,2024-12-23
106,RES046,2,400.50,2024-12-20,2024-12-26
207,RES047,35,235.75,2024-12-21,2024-12-25
308,RES048,13,345.25,2024-12-22,2024-12-27
109,RES049,6,185.50,2024-12-23,2024-12-25
210,RES050,24,305.00,2024-12-24,2024-12-28
